name,price,quality,sales
"
            Лосины спортивные 3328597774-40","
              1999 ₽
            ","
                      Состав: 94% полиамид, 6% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена, Ручная стирка при максимальной температуре 40ºС
                    
                      Арт.: 3328597774
                    
                      Параметры: Тип карманов: без карманов; Тип посадки: высокая
                    ",0
"
            Лосины спортивные 3328597774-40","
              1999 ₽
            ","
                      Состав: 94% полиамид, 6% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена, Ручная стирка при максимальной температуре 40ºС
                    
                      Арт.: 3328597774
                    
                      Параметры: Тип карманов: без карманов; Тип посадки: высокая
                    ",0
"
            Спортивный топ 3328591472-50","
              1599 ₽
            ","
                      Состав: 82% полиэстер, 18% эластан, 82% полиэстер, 18% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Ручная стирка при максимальной температуре 40ºС, Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена
                    
                      Арт.: 3328591472
                    
                      Параметры: Чашка: вставные чашечки; Наличие принта: без принта; Наличие подкладки: Да; Вырез горловины: V образный
                    ",0
"
            Спортивный топ 3328591472-50","
              1599 ₽
            ","
                      Состав: 82% полиэстер, 18% эластан, 82% полиэстер, 18% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Ручная стирка при максимальной температуре 40ºС, Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена
                    
                      Арт.: 3328591472
                    
                      Параметры: Чашка: вставные чашечки; Наличие принта: без принта; Наличие подкладки: Да; Вырез горловины: V образный
                    ",0
"
            Спортивные брюки 3328598780-37","
              2599 ₽
            ","
                      Состав: 48% вискоза, 47% полиэстер, 5% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Профессиональная сухая чистка. Мягкий режим.
                    
                      Арт.: 3328598780
                    
                      Параметры: Тип посадки: высокая; Модель брюк: прямые; Застежка: без застежки; Тип карманов: в шве
                    ",0
"
            Спортивные брюки 3328598780-37","
              2599 ₽
            ","
                      Состав: 48% вискоза, 47% полиэстер, 5% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Профессиональная сухая чистка. Мягкий режим.
                    
                      Арт.: 3328598780
                    
                      Параметры: Тип посадки: высокая; Модель брюк: прямые; Застежка: без застежки; Тип карманов: в шве
                    ",0
"
            Велосипедки спортивные 3328590771-50","
              1799 ₽
            ","
                      Состав: 94% полиамид, 6% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена
                    
                      Арт.: 3328590771
                    
                      Параметры: Тип карманов: без карманов; Основной материал: вязаное; Тип посадки: высокая
                    ",0
"
            Велосипедки спортивные 3328590771-50","
              1799 ₽
            ","
                      Состав: 94% полиамид, 6% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена
                    
                      Арт.: 3328590771
                    
                      Параметры: Тип карманов: без карманов; Основной материал: вязаное; Тип посадки: высокая
                    ",0
"
            Спортивный топ 3328591473-2","
              1599 ₽
            ","
                      Состав: 82% полиэстер, 18% эластан, 82% полиэстер, 18% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена, Бережная стирка при максимальной температуре 30ºС
                    
                      Арт.: 3328591473
                    
                      Параметры: Вырез горловины: округлый; Чашка: без чашек; Наличие принта: без принта; Наличие подкладки: Да
                    ",0
"
            Спортивный топ 3328591473-2","
              1599 ₽
            ","
                      Состав: 82% полиэстер, 18% эластан, 82% полиэстер, 18% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена, Бережная стирка при максимальной температуре 30ºС
                    
                      Арт.: 3328591473
                    
                      Параметры: Вырез горловины: округлый; Чашка: без чашек; Наличие принта: без принта; Наличие подкладки: Да
                    ",0
"
            Спортивный топ 3328590470-40","
              1199 ₽
            ","
                      Состав: 94% полиамид, 6% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена
                    
                      Арт.: 3328590470
                    
                      Параметры: Вырез горловины: округлый; Чашка: вставные чашечки; Наличие принта: без принта; Наличие подкладки: Да
                    ",0
"
            Спортивный топ 3328590470-40","
              1199 ₽
            ","
                      Состав: 94% полиамид, 6% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена
                    
                      Арт.: 3328590470
                    
                      Параметры: Вырез горловины: округлый; Чашка: вставные чашечки; Наличие принта: без принта; Наличие подкладки: Да
                    ",0
"
            Велосипедки спортивные 3328590771-40","
              1799 ₽
            ","
                      Состав: 94% полиамид, 6% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена
                    
                      Арт.: 3328590771
                    
                      Параметры: Тип карманов: без карманов; Основной материал: вязаное; Тип посадки: высокая
                    ",0
"
            Велосипедки спортивные 3328590771-40","
              1799 ₽
            ","
                      Состав: 94% полиамид, 6% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена
                    
                      Арт.: 3328590771
                    
                      Параметры: Тип карманов: без карманов; Основной материал: вязаное; Тип посадки: высокая
                    ",0
"
            Лосины спортивные 3328591772-37","
              2399 ₽
            ","
                      Состав: 82% полиэстер, 18% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Ручная стирка при максимальной температуре 40ºС, Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена
                    
                      Арт.: 3328591772
                    
                      Параметры: Тип карманов: без карманов; Тип посадки: высокая
                    ",0
"
            Лосины спортивные 3328591772-37","
              2399 ₽
            ","
                      Состав: 82% полиэстер, 18% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Ручная стирка при максимальной температуре 40ºС, Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена
                    
                      Арт.: 3328591772
                    
                      Параметры: Тип карманов: без карманов; Тип посадки: высокая
                    ",0
"
            Спортивный топ 3328591473-50","
              1599 ₽
            ","
                      Состав: 82% полиэстер, 18% эластан, 82% полиэстер, 18% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена, Бережная стирка при максимальной температуре 30ºС
                    
                      Арт.: 3328591473
                    
                      Параметры: Вырез горловины: округлый; Чашка: без чашек; Наличие принта: без принта; Наличие подкладки: Да
                    ",0
"
            Спортивный топ 3328591473-50","
              1599 ₽
            ","
                      Состав: 82% полиэстер, 18% эластан, 82% полиэстер, 18% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена, Бережная стирка при максимальной температуре 30ºС
                    
                      Арт.: 3328591473
                    
                      Параметры: Вырез горловины: округлый; Чашка: без чашек; Наличие принта: без принта; Наличие подкладки: Да
                    ",0
"
            Лосины спортивные 3328597774-50","
              1999 ₽
            ","
                      Состав: 94% полиамид, 6% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена, Ручная стирка при максимальной температуре 40ºС
                    
                      Арт.: 3328597774
                    
                      Параметры: Тип карманов: без карманов; Тип посадки: высокая
                    ",0
"
            Лосины спортивные 3328597774-50","
              1999 ₽
            ","
                      Состав: 94% полиамид, 6% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена, Ручная стирка при максимальной температуре 40ºС
                    
                      Арт.: 3328597774
                    
                      Параметры: Тип карманов: без карманов; Тип посадки: высокая
                    ",0
"
            Спортивная куртка 3328598484-50","
              2999 ₽
            ","
                      Состав: 48% вискоза, 47% полиэстер, 5% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Сухая чистка запрещена
                    
                      Арт.: 3328598484
                    ",0
"
            Спортивная куртка 3328598484-50","
              2999 ₽
            ","
                      Состав: 48% вискоза, 47% полиэстер, 5% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Сухая чистка запрещена
                    
                      Арт.: 3328598484
                    ",0
"
            Спортивные брюки 3328598780-50","
              2599 ₽
            ","
                      Состав: 48% вискоза, 47% полиэстер, 5% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Профессиональная сухая чистка. Мягкий режим.
                    
                      Арт.: 3328598780
                    
                      Параметры: Тип посадки: высокая; Модель брюк: прямые; Застежка: без застежки; Тип карманов: в шве
                    ",0
"
            Спортивные брюки 3328598780-50","
              2599 ₽
            ","
                      Состав: 48% вискоза, 47% полиэстер, 5% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Профессиональная сухая чистка. Мягкий режим.
                    
                      Арт.: 3328598780
                    
                      Параметры: Тип посадки: высокая; Модель брюк: прямые; Застежка: без застежки; Тип карманов: в шве
                    ",0
"
            Спортивный топ 3328590471-50","
              1599 ₽
            ","
                      Состав: 94% полиамид, 6% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена
                    
                      Арт.: 3328590471
                    
                      Параметры: Чашка: вставные чашечки; Вырез горловины: фигурный; Наличие принта: без принта; Наличие подкладки: Да
                    ",0
"
            Спортивный топ 3328590471-50","
              1599 ₽
            ","
                      Состав: 94% полиамид, 6% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена
                    
                      Арт.: 3328590471
                    
                      Параметры: Чашка: вставные чашечки; Вырез горловины: фигурный; Наличие принта: без принта; Наличие подкладки: Да
                    ",0
"
            Спортивная куртка 3328598484-37","
              2999 ₽
            ","
                      Состав: 48% вискоза, 47% полиэстер, 5% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Сухая чистка запрещена
                    
                      Арт.: 3328598484
                    ",0
"
            Спортивная куртка 3328598484-37","
              2999 ₽
            ","
                      Состав: 48% вискоза, 47% полиэстер, 5% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Сухая чистка запрещена
                    
                      Арт.: 3328598484
                    ",0
"
            Лосины спортивные 3328599778-50","
              2399 ₽
            ","
                      Состав: 84% полиэстер, 16% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена
                    
                      Арт.: 3328599778
                    
                      Параметры: Тип карманов: без карманов; Тип посадки: высокая
                    ",0
"
            Лосины спортивные 3328599778-50","
              2399 ₽
            ","
                      Состав: 84% полиэстер, 16% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена
                    
                      Арт.: 3328599778
                    
                      Параметры: Тип карманов: без карманов; Тип посадки: высокая
                    ",0
"
            Спортивный топ 3225543456-50","
              999 ₽
            ","
                      Состав: 82% полиэстер, 18% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Не гладить, Профессиональная сухая чистка. Мягкий режим.
                    
                      Арт.: 3225543456
                    
                      Параметры: Вырез горловины: округлый; воротник стойка; Тип рукава: без рукавов; Наличие принта: с принтом; Наличие подкладки: Нет; Чашка: без чашек
                    ",0
"
            Спортивный топ 3225543456-50","
              999 ₽
            ","
                      Состав: 82% полиэстер, 18% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Не гладить, Профессиональная сухая чистка. Мягкий режим.
                    
                      Арт.: 3225543456
                    
                      Параметры: Вырез горловины: округлый; воротник стойка; Тип рукава: без рукавов; Наличие принта: с принтом; Наличие подкладки: Нет; Чашка: без чашек
                    ",0
"
            Спортивный топ 3328590470-50","
              1199 ₽
            ","
                      Состав: 94% полиамид, 6% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена
                    
                      Арт.: 3328590470
                    
                      Параметры: Вырез горловины: округлый; Чашка: вставные чашечки; Наличие принта: без принта; Наличие подкладки: Да
                    ",0
"
            Спортивный топ 3328590470-50","
              1199 ₽
            ","
                      Состав: 94% полиамид, 6% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена
                    
                      Арт.: 3328590470
                    
                      Параметры: Вырез горловины: округлый; Чашка: вставные чашечки; Наличие принта: без принта; Наличие подкладки: Да
                    ",0
"
            Лосины спортивные 3328591772-50","
              2399 ₽
            ","
                      Состав: 82% полиэстер, 18% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Ручная стирка при максимальной температуре 40ºС, Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена
                    
                      Арт.: 3328591772
                    
                      Параметры: Тип карманов: без карманов; Тип посадки: высокая
                    ",0
"
            Лосины спортивные 3328591772-50","
              2399 ₽
            ","
                      Состав: 82% полиэстер, 18% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Ручная стирка при максимальной температуре 40ºС, Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена
                    
                      Арт.: 3328591772
                    
                      Параметры: Тип карманов: без карманов; Тип посадки: высокая
                    ",0
"
            Спортивный топ 3328591472-37","
              1599 ₽
            ","
                      Состав: 82% полиэстер, 18% эластан, 82% полиэстер, 18% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Ручная стирка при максимальной температуре 40ºС, Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена
                    
                      Арт.: 3328591472
                    
                      Параметры: Чашка: вставные чашечки; Наличие принта: без принта; Наличие подкладки: Да; Вырез горловины: V образный
                    ",0
"
            Спортивный топ 3328591472-37","
              1599 ₽
            ","
                      Состав: 82% полиэстер, 18% эластан, 82% полиэстер, 18% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Ручная стирка при максимальной температуре 40ºС, Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена
                    
                      Арт.: 3328591472
                    
                      Параметры: Чашка: вставные чашечки; Наличие принта: без принта; Наличие подкладки: Да; Вырез горловины: V образный
                    ",0
"
            Спортивный топ 3328590471-40","
              1599 ₽
            ","
                      Состав: 94% полиамид, 6% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена
                    
                      Арт.: 3328590471
                    
                      Параметры: Чашка: вставные чашечки; Вырез горловины: фигурный; Наличие принта: без принта; Наличие подкладки: Да
                    ",0
"
            Спортивный топ 3328590471-40","
              1599 ₽
            ","
                      Состав: 94% полиамид, 6% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена
                    
                      Арт.: 3328590471
                    
                      Параметры: Чашка: вставные чашечки; Вырез горловины: фигурный; Наличие принта: без принта; Наличие подкладки: Да
                    ",0
"
            Лосины спортивные 3328599779-50","
              2399 ₽
            ","
                      Состав: 84% полиэстер, 16% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена
                    
                      Арт.: 3328599779
                    
                      Параметры: Тип посадки: высокая; Тип карманов: без карманов
                    ",0
"
            Лосины спортивные 3328599779-50","
              2399 ₽
            ","
                      Состав: 84% полиэстер, 16% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Не гладить, Сухая чистка запрещена
                    
                      Арт.: 3328599779
                    
                      Параметры: Тип посадки: высокая; Тип карманов: без карманов
                    ",0
"
            Свитшот из хлопка 3328595482-40","
              2599 ₽
            ","
                      Состав: 65% хлопок, 35% полиэстер
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Не отбеливать
                    
                      Арт.: 3328595482
                    ",0
"
            Свитшот из хлопка 3328595482-40","
              2599 ₽
            ","
                      Состав: 65% хлопок, 35% полиэстер
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Не отбеливать
                    
                      Арт.: 3328595482
                    ",0
"
            Спортивный джемпер 3328595481-50","
              2799 ₽
            ","
                      Состав: 65% хлопок, 35% полиэстер
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Сухая чистка запрещена
                    
                      Арт.: 3328595481
                    ",0
"
            Спортивный джемпер 3328595481-50","
              2799 ₽
            ","
                      Состав: 65% хлопок, 35% полиэстер
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Сухая чистка запрещена
                    
                      Арт.: 3328595481
                    ",0
"
            Спортивные брюки 3328595775-33","
              2399 ₽
            ","
                      Состав: 65% хлопок, 35% полиэстер
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Сухая чистка запрещена
                    
                      Арт.: 3328595775
                    
                      Параметры: Застежка: без застежки; Модель брюк: спортивные; Тип карманов: с отрезным бочком; Тип посадки: высокая
                    ",0
"
            Спортивные брюки 3328595775-33","
              2399 ₽
            ","
                      Состав: 65% хлопок, 35% полиэстер
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Сухая чистка запрещена
                    
                      Арт.: 3328595775
                    
                      Параметры: Застежка: без застежки; Модель брюк: спортивные; Тип карманов: с отрезным бочком; Тип посадки: высокая
                    ",0
"
            Спортивный джемпер 3328595481-33","
              2799 ₽
            ","
                      Состав: 65% хлопок, 35% полиэстер
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Сухая чистка запрещена
                    
                      Арт.: 3328595481
                    ",0
"
            Спортивный джемпер 3328595481-33","
              2799 ₽
            ","
                      Состав: 65% хлопок, 35% полиэстер
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Сухая чистка запрещена
                    
                      Арт.: 3328595481
                    ",0
"
            Спортивная футболка 3328594478-2","
              1599 ₽
            ","
                      Состав: 63% полиэстер, 32% модал, 5% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Сухая чистка запрещена
                    
                      Арт.: 3328594478
                    
                      Параметры: Вырез горловины: округлый; Чашка: без чашек; Тип рукава: без рукавов; Наличие принта: без принта; Наличие подкладки: Нет
                    ",0
"
            Спортивная футболка 3328594478-2","
              1599 ₽
            ","
                      Состав: 63% полиэстер, 32% модал, 5% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Сухая чистка запрещена
                    
                      Арт.: 3328594478
                    
                      Параметры: Вырез горловины: округлый; Чашка: без чашек; Тип рукава: без рукавов; Наличие принта: без принта; Наличие подкладки: Нет
                    ",0
"
            Спортивная майка 3224511411-50","
              799 ₽
            ","
                      Состав: 63% полиэстер, 32% модал, 5% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Ручная стирка при максимальной температуре 40ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Профессиональная сухая чистка. Мягкий режим.
                    
                      Арт.: 3224511411
                    
                      Параметры: Вырез горловины: округлый; Тип рукава: без рукавов; Наличие принта: с принтом; Наличие подкладки: Нет; Чашка: нет
                    ",0
